id,nom
135012,"Pâté mexicain agneau"
137003,"Bambou tranché biologique"
166009,"Rillette de canard"
181007,"Sac officiel du Marché"
183029,"Boeuf haché maigre"
184012,Certificat-cadeau
191011,"Lait 1 litre (contenant verre inclus dans le prix)"
193010,"Don pour la Sécurité alimentaire"
193025,"Cubes à bouillir d'agneau"
193030,"SAUCISSE A LA BIÈRE (agneau)"
194005,"Savon/ BOIS DE ROSE ET NOIX DE COCO"
194018,"SAUCISSE MERGUEZ  (agneau)"
194022,"TOURTIÈRE AGNEAU "
196027,"TERRINE D'agneau PORTO CANNEBERGES"
198013,"Savon/ LAVANDE ET CITRON"
198022,"Savon/ CALENDULE ET CAMOMILLE"
200002,"Viande hachée - agneau"
200003,"Lanières d'agneau"
200006,"SAUCISSE FINES HERBES  (agneau)"
201005,"Carré d'agneau"
201006,"Jarrets d'agneau (2)"
201007,"Rôti d'épaule d'agneau désossé"
203001,"Fondue chinoise agneau"
206004,"Chair à saucisse à la bière  (agneau)"
207002,"Chair à saucisse merguez (agneau)"
209003,"Chair à saucisse fines herbes  (agneau)"
214015,"Jus de canneberges sans sucre ajouté"
214020,"Jus de cassis sucré "
214024,"Fondue chinoise d'autruche"
214028,"Shampooing à base d'huile d'autruche"
214031,"Baume à lèvres (lipsil) aux fraises"
214035,"Tartinade de Sureau"
214038,"Gigot d'agneau désossé"
214041,"Pain aux raisins (tranché en sac plastique)"
215045,"Jus de sureau sucré"
215046,"Tisane de thé du Labrador "
215047,"Tartinade de Mûres  (agar)"
215056," Gigot d'agneau avec os"
215060,"Pain aux raisins (sac papier)"
215061,"Fougasse aux olives noires et fines herbes (sac papier)"
216019,"Jus d'Argousier sucré"
216034,"Saucisses d'autruche douce"
216036,"Smoked meat d'autruche"
216038,"Rôti de ronde"
216042,"Baume à lèvres (lipsil) à l'orange"
216056,"Pain baguette biologique (en sac papier)"
216058,"Pain belge blanc biologique (tranché en sac plastique)"
216059,"Pain carré blanc (tranché en sac plastique)"
216064,"Paninis biologiques (paquet de 4 en sac plastique)"
217028,"Bifteak d'autruche"
217030,"Foie d'autruche"
217033,"Rôti Sot-l'y-laisse "
217035,"Savon liquide pour mains et corps."
217039,"Miel de fleurs de Trèfles"
217054,"Pain belge blanc biologique (sac papier)"
217055,"Pain de blé aux graines de sésame biologique (sac papier)"
217059,"Bagels au sésame à 87% bio (paquet de 6 en sac plastique)"
218026,"Jus de canneberges sucré"
218040,"Bifteak Sot-l'y-laisse"
218042,"Cubes à brochette ou à fondue(filet mignon)"
218046,"Savon (huile d'autruche et lait de chèvre) naturel"
218049,"Crème hydratante pour mains et corps"
218051,"Crème de protection solaire "
218062,"Pain de blé aux graines de sésame bio (tranché, sac plast.) "
218063,"Pain miche multi-grains biologique (sac papier)"
219026,"Foie gras d'autruche"
219028,"Autruche hachée"
219031,"Cubes bourguignon"
219033,"Huile d'autruche camphrée"
219037,"Savon (huile d'autruche et lait de chèvre) aromatisé"
